Legacy_Customer_ID,Age,Employment_Type,Education_Level,Annual_Income($),Credit_Score,Region,Account_Type,Customer_Feedback,CLV_Score,Complaint_Count,Contact_Preference,Subscription_Tier,Target
nan,42.0,Unemployed,Associate,4728.96,715.7378535430271,Midwest,Savings,Product caliber transcended forecasts,6.6,1,Email,Premium,0
nan,28.0,Unemployed,PhD,75056.69,750.0890301649334,Northeast,Savings,Highly recommend this service,17.5,1,Email,Basic,0
nan,28.0,Self-Employed,Master,185554.19,811.0443295779703,Northeast,Joint,Product standard transcended predictions,16.0,1,Phone,Basic,0
nan,35.0,Freelancer,nan,63902.83,683.8872963801851,Midwest,Checking,Loyalty program privileges are worthwhile,46.2,1,Phone,Premium,0
nan,28.0,Salaried,Bachelor,178691.52,712.8310247580013,Northeast,Joint,Delivery was held up by 3 days,35.0,0,App,Premium,0
nan,35.0,Freelancer,High School,141606.78,798.4817252288857,West Coast,Savings,Technical support was unavailable,34.6,1,Email,Premium,0
nan,28.0,Salaried,,6705.22,753.4365865427642,Northeast,Checking,Website design needs improvement,17.8,2,Text,Basic,1
nan,28.0,Unemployed,Associate,19175.44,685.0108627897702,Northeast,Joint,Loyalty program incentives are useful,22.1,1,Email,Basic,0
ID_XXXX,,Salaried,Associate,91128.41,672.249114823026,West Coast,Joint,Loyalty program advantages are worthwhile,18.6,1,Email,Premium,0
nan,28.0,Freelancer,Bachelor,49817.7,693.5959679948327,Midwest,Joint,Billing challenges caused frustration,5.9,2,Email,Basic,0
ID_XXXX,50.0,Salaried,,29195.5,683.0792647598561,Northeast,Savings,Product caliber transcended predictions,16.6,0,Phone,Basic,0
nan,28.0,Unemployed,,46101.83,,Southwest,Joint,Highly recommend this service without hesitation,50.0,0,Text,Basic,1
nan,,Salaried,High School,50077.49,,Midwest,Savings,Return process was overly complex,29.0,1,Email,Basic,0
nan,61.0,Freelancer,High School,205198.55,733.9618877137675,Southwest,Checking,Highly recommend this service to colleagues,16.2,2,Text,Basic,0
nan,50.0,Self-Employed,High School,9282.89,677.9593599220109,Southwest,Checking,Loyalty program advantages are worthwhile,35.7,2,Phone,Enterprise,0
nan,50.0,Salaried,,27891.06,716.4583046237373,Southwest,Joint,Loyalty program incentives are beneficial,58.2,0,Email,Basic,0
nan,28.0,Freelancer,,65556.15,617.2150113021892,Northeast,Savings,Return process was difficult,45.1,0,Email,Basic,1
nan,,nan,High School,101853.7,727.2503158680684,West Coast,Joint,Loyalty program incentives are useful,17.4,0,Email,Basic,0
nan,61.0,Salaried,Master,84657.97,778.7720322477933,Northeast,Checking,Delivery was held up by 3 days,,1,Phone,Enterprise,0
nan,61.0,nan,,241499.57,648.762704532691,Southwest,Savings,Loyalty program advantages are profitable,35.3,0,Phone,Basic,1
nan,50.0,Freelancer,High School,134956.21,744.1714115323731,Southwest,Checking,Website navigation needs improvement,44.8,0,Email,Basic,1
nan,35.0,Unemployed,Master,69220.51,689.4492824119718,West Coast,Checking,Loyalty program privileges are worthwhile,19.3,0,Email,Basic,1
nan,61.0,Salaried,,20541.73,760.1250576846685,Midwest,Savings,Loyalty program advantages are profitable,6.4,1,Email,Basic,0
ID_XXXX,35.0,Self-Employed,High School,50951.36,727.9323725606139,Southwest,Savings,Loyalty program privileges are profitable,24.9,1,Phone,Basic,0
nan,42.0,Unemployed,PhD,100483.04,740.235205633022,Northeast,Savings,Technical support was unavailable,27.0,2,Email,Premium,1
ID_XXXX,28.0,Self-Employed,High School,154693.67,723.241194937772,Southwest,Joint,Delivery was postponed by 3 days,11.1,0,Text,Basic,0
nan,,Self-Employed,,273045.76,786.4165903192177,Southwest,Joint,Delivery was deferred by 3 days,43.3,0,Email,Enterprise,0
nan,28.0,Salaried,Master,79051.4,737.3705238847551,Midwest,Savings,Product standard transcended predictions,16.9,0,Phone,Basic,0
nan,35.0,Salaried,Master,63621.6,684.7288142998774,West Coast,Savings,Website UI/UX needs improvement,27.5,1,Email,Premium,0
nan,42.0,Freelancer,High School,1517.28,,Southwest,Joint,Website navigation needs improvement,,0,Email,Basic,1
nan,50.0,Freelancer,High School,6360.58,701.5559478516975,Midwest,Savings,Highly recommend this service to colleagues,18.5,0,Email,Premium,0
nan,50.0,Self-Employed,PhD,14426.81,728.1199953259794,Midwest,Checking,Loyalty program incentives are beneficial,52.7,0,Phone,Enterprise,1
nan,35.0,Salaried,Associate,4786.89,699.0115143816594,Southwest,Savings,Return process was problematic,39.0,0,Email,Enterprise,0
nan,28.0,Self-Employed,High School,43542.56,686.1594632226843,Southwest,Joint,Delivery was late by 3 days,12.4,2,Email,Premium,0
nan,50.0,Salaried,Bachelor,34917.75,729.9636106374223,West Coast,Savings,Return process was problematic that needs resolution,21.7,0,Email,Enterprise,0
nan,,Self-Employed,nan,86217.93,722.7894814308277,Northeast,Savings,Website user experience needs improvement,15.3,1,Email,Premium,0
nan,61.0,Unemployed,High School,65207.69,,Northeast,Checking,Loyalty program incentives are useful,14.8,1,App,Enterprise,1
nan,42.0,Freelancer,Master,77032.78,699.2522060433594,West Coast,Savings,Delivery was pushed back by 3 days,31.6,0,Email,Premium,1
nan,,Salaried,Bachelor,54282.34,620.9573076252346,Midwest,Joint,Delivery was late by 3 days affecting my schedule,34.1,1,App,Basic,1
nan,42.0,Unemployed,,27656.12,701.8064600768344,Midwest,Joint,Loyalty program privileges are worthwhile,27.1,0,Phone,Basic,1
nan,42.0,Self-Employed,Master,259581.32,638.6784620541712,West Coast,Checking,Loyalty program incentives are advantageous,37.1,0,Text,Basic,0
nan,42.0,Freelancer,nan,7681.66,740.7835987048288,Northeast,Checking,Website user experience needs improvement,26.0,0,Email,Basic,1
nan,42.0,Salaried,High School,237583.17,636.3051035825606,Midwest,Joint,Highly recommend this service,35.1,1,Email,Basic,0
nan,50.0,Freelancer,High School,31693.06,670.581446879295,Northeast,Savings,Product caliber surpassed hopes,20.2,1,Email,Basic,0
nan,42.0,Salaried,nan,61097.68,,Midwest,Joint,Website navigation needs improvement,42.1,1,Phone,Basic,0
nan,35.0,Self-Employed,Bachelor,9794.88,797.1975302380572,Northeast,Checking,Technical support was delayed affecting my schedule,,0,App,Basic,0
ID_XXXX,35.0,Salaried,Associate,6253.65,666.3554942142541,West Coast,Joint,Loyalty program incentives are beneficial,26.5,0,Email,Basic,0
ID_XXXX,28.0,Salaried,Bachelor,47712.35,720.6202491573293,Northeast,Checking,Product standard transcended forecasts,33.0,0,Phone,Enterprise,0
nan,42.0,Salaried,Master,115057.99,,Midwest,Joint,Delivery was late by 3 days,13.4,0,Phone,Premium,1
nan,35.0,Salaried,,26676.48,794.2030276610349,Midwest,Savings,Loyalty program advantages are profitable,20.2,0,Phone,Enterprise,0
nan,28.0,Salaried,nan,70238.13,758.8897375860705,Midwest,Savings,Billing setbacks caused frustration,16.5,2,Email,Premium,0
nan,50.0,Freelancer,Associate,27763.66,774.6953475816233,Southwest,Checking,Loyalty program incentives are advantageous,12.0,0,Email,Premium,0
nan,50.0,Salaried,High School,41822.14,763.215352942577,Southwest,Savings,Return process was overly complex,58.4,4,Email,Basic,0
nan,50.0,Freelancer,Bachelor,201383.69,659.5438514301931,Midwest,Checking,Competitive pricing compared to others,29.2,0,Email,Basic,1
ID_XXXX,42.0,Salaried,Associate,164630.46,,West Coast,Savings,Product caliber outdid anticipations,60.2,1,Email,Basic,0
nan,61.0,nan,Bachelor,61685.06,762.4330476086111,Midwest,Joint,Delivery was pushed back by 3 days,14.5,0,Email,Premium,1
nan,,nan,Associate,23115.52,672.174985516299,West Coast,Savings,Billing difficulties caused frustration,30.9,0,Email,Basic,1
nan,61.0,Salaried,High School,18246.06,691.0120061637989,Midwest,Joint,Loyalty program advantages are worthwhile,19.3,2,Phone,Basic,0
nan,50.0,Freelancer,Associate,261886.25,679.8403852436472,Midwest,Checking,Delivery was postponed by 3 days,13.4,0,App,Basic,0
nan,35.0,Salaried,Bachelor,19256.33,758.6311492984016,West Coast,Savings,Product grade beat anticipations,23.2,1,App,Basic,1
ID_XXXX,,nan,Master,140346.64,716.5359439835433,Northeast,Savings,Delivery was late by 3 days affecting my schedule,28.0,1,Email,Basic,1
nan,35.0,Self-Employed,Associate,39134.19,703.9577052832451,Southwest,Joint,Loyalty program perks are worthwhile,72.7,1,Email,Premium,1
nan,35.0,Salaried,High School,360798.8,655.9165041673506,Midwest,Checking,Excellent customer service experience,29.5,1,App,Premium,1
nan,42.0,Salaried,Associate,39024.55,716.6302873403104,West Coast,Savings,Technical support was delayed causing inconvenience,53.7,1,Email,Basic,0
nan,28.0,Salaried,Master,36815.11,,West Coast,Checking,Highly recommend this service to colleagues,42.5,1,App,Basic,0
nan,,Salaried,Associate,86243.59,732.1669782632081,Southwest,Checking,Return process was convoluted,5.4,1,Phone,Basic,0
nan,42.0,Freelancer,,276890.36,662.8516400677274,Southwest,Savings,Product grade surpassed hopes,40.7,1,Text,Basic,1
nan,42.0,Self-Employed,,317770.24,728.89531297531,Northeast,Joint,Product caliber surpassed hopes,41.6,2,Email,Basic,1
nan,50.0,Salaried,High School,104404.35,698.052461475059,Midwest,Checking,Return process was problematic that needs resolution,64.8,0,Phone,Premium,0
nan,42.0,Salaried,Master,119415.79,657.5351537132427,Southwest,Checking,Delivery was late by 3 days affecting my schedule,56.1,1,Phone,Premium,0
nan,28.0,Salaried,High School,70443.14,653.6357981060927,Northeast,Savings,Excellent customer service experience,25.5,1,Email,Basic,0
nan,50.0,Salaried,Bachelor,119821.81,661.1489805988653,Midwest,Checking,Return process was convoluted,20.0,4,Phone,Premium,0
nan,50.0,Unemployed,High School,166985.92,709.6800471279729,Midwest,Savings,Billing setbacks caused frustration,27.6,0,Email,Basic,1
nan,42.0,Salaried,High School,56585.98,726.0497717181751,West Coast,Checking,Technical support was negligent,39.3,0,Email,Enterprise,1
nan,50.0,Self-Employed,Bachelor,82213.84,733.4911816188591,Southwest,Joint,Loyalty program privileges are profitable,15.7,0,Text,Premium,1
nan,35.0,Salaried,Associate,65510.56,735.3776458864223,Northeast,Joint,Return process was difficult,50.7,0,Phone,Basic,0
nan,35.0,Salaried,,70261.97,682.07383695104,Northeast,Joint,Product grade beat anticipations,60.4,0,Email,Premium,0
nan,28.0,Freelancer,Master,187655.4,772.9201454047587,West Coast,Joint,Technical support was ignoring,9.3,1,Email,Basic,1
nan,35.0,Self-Employed,Master,37354.25,,Northeast,Savings,Website design needs improvement,17.9,0,Email,Premium,1
nan,61.0,Self-Employed,Associate,19841.23,742.5074880029866,Northeast,Savings,Billing problems caused frustration requiring immediate attention,6.3,2,Email,Basic,0
nan,61.0,Self-Employed,Bachelor,51792.29,711.7922283253091,Midwest,Savings,Loyalty program privileges are profitable,16.7,0,Email,Basic,1
nan,35.0,Self-Employed,Bachelor,19830.62,738.7810615851521,Southwest,Savings,Technical support was ignoring,35.2,0,Phone,Basic,0
nan,42.0,Salaried,Associate,58646.02,709.2835966927543,West Coast,Savings,Loyalty program incentives are advantageous,20.2,0,Phone,Basic,0
nan,50.0,Self-Employed,,198755.18,739.6817438287284,Southwest,Joint,Delivery was held up by 3 days,29.8,1,Email,Premium,0
nan,35.0,Freelancer,nan,81672.49,,Northeast,Checking,Loyalty program privileges are profitable,3.9,3,Email,Premium,0
nan,28.0,Salaried,,164390.95,760.6920285325344,Northeast,Checking,Highly recommend this service without hesitation,15.0,0,Email,Basic,0
nan,,Self-Employed,nan,15448.82,679.0657478394401,Northeast,Joint,Billing setbacks caused frustration,8.3,0,Email,Basic,0
nan,50.0,Salaried,High School,196465.55,631.505433205471,Southwest,Joint,Website user experience needs improvement,8.5,2,Phone,Basic,1
nan,,Salaried,Associate,78265.34,671.3321290282952,West Coast,Savings,Loyalty program advantages are worthwhile,34.1,1,Text,Basic,0
nan,35.0,Self-Employed,High School,2743.38,773.4459207619017,West Coast,Savings,Loyalty program incentives are advantageous,28.8,0,Text,Basic,0
nan,50.0,Unemployed,,85231.0,712.2720590056131,Midwest,Checking,Billing problems caused frustration requiring immediate attention,41.2,2,Email,Enterprise,1
nan,35.0,Unemployed,High School,257045.88,724.6031147773281,West Coast,Checking,Website UI/UX needs improvement,36.8,0,Email,Premium,0
nan,35.0,Salaried,PhD,7010.51,667.3181692976807,Midwest,Savings,Product standard transcended predictions,40.9,0,Phone,Basic,0
nan,42.0,Self-Employed,,74236.08,723.2776862575139,Northeast,Savings,Return process was problematic that needs resolution,14.7,0,Email,Enterprise,1
nan,35.0,Self-Employed,Bachelor,210013.8,668.8593677963652,West Coast,Joint,Technical support was negligent,40.7,0,Email,Premium,0
ID_XXXX,28.0,Salaried,Associate,828.11,676.2109362473623,Midwest,Savings,Loyalty program advantages are profitable,19.0,0,Phone,Basic,0
ID_XXXX,35.0,Freelancer,nan,84721.43,699.8758158588059,Midwest,Joint,Billing problems caused frustration requiring immediate attention,46.2,0,Phone,Basic,0
nan,28.0,Freelancer,Master,54754.53,742.2548628921073,Southwest,Savings,Product standard transcended predictions,46.1,0,Email,Basic,0
nan,50.0,nan,Associate,36223.75,747.5923790321256,Northeast,Checking,Loyalty program incentives are advantageous,18.5,0,Email,Basic,1
nan,42.0,Salaried,Master,83947.38,748.9522448968919,West Coast,Joint,Loyalty program privileges are profitable,38.9,1,App,Premium,1
nan,28.0,Salaried,Bachelor,4602.04,640.5957942477813,West Coast,Checking,Product caliber surpassed hopes,38.0,0,Phone,Premium,1
nan,28.0,Unemployed,,118882.89,719.6667749804869,West Coast,Joint,Website design needs improvement,8.9,0,Text,Basic,1
nan,28.0,Freelancer,Associate,381.61,710.1609083308632,Midwest,Joint,Product caliber transcended predictions,12.4,0,App,Basic,1
nan,50.0,Unemployed,Associate,31163.77,643.3908791959273,West Coast,Checking,Return process was difficult,,0,Text,Basic,0
nan,28.0,Salaried,High School,59593.16,720.79918833611,West Coast,Checking,Loyalty program privileges are profitable,31.8,0,App,Basic,1
nan,50.0,Self-Employed,Associate,40225.78,707.478639128162,West Coast,Savings,Excellent customer service experience,14.6,0,Phone,Basic,0
nan,28.0,Self-Employed,,31230.04,745.5762836058943,Northeast,Joint,Website layout needs improvement,6.9,0,Email,Enterprise,1
ID_XXXX,35.0,Salaried,nan,151034.93,724.0623538119901,Northeast,Savings,Delivery was held up by 3 days,29.5,4,Email,Basic,1
nan,61.0,Self-Employed,nan,232117.62,,Midwest,Joint,Return process was confusing,37.8,2,Email,Enterprise,0
nan,50.0,Freelancer,Bachelor,175881.63,766.2881225228489,Southwest,Savings,Delivery was pushed back by 3 days,12.8,1,Email,Premium,0
ID_XXXX,28.0,Salaried,Bachelor,62819.02,608.9383249612438,West Coast,Checking,Delivery was held up by 3 days,,0,Email,Premium,0
nan,61.0,Salaried,,183224.42,716.7867435785195,West Coast,Checking,Return process was confusing,30.6,0,Text,Premium,0
nan,42.0,Freelancer,Bachelor,215607.31,631.8374534004032,Midwest,Savings,Competitive pricing compared to others,39.3,0,Email,Basic,1
nan,61.0,Self-Employed,High School,44739.13,674.390336439694,West Coast,Checking,Return process was problematic,52.5,3,Phone,Premium,1
nan,50.0,Unemployed,High School,28330.63,746.2406851504675,Southwest,Savings,Technical support was delayed causing inconvenience,7.1,2,App,Basic,0
nan,50.0,Salaried,Bachelor,8791.96,656.2901259779599,Midwest,Joint,Website design needs improvement,26.3,1,Email,Enterprise,0
nan,,Salaried,Associate,55435.44,,Northeast,Joint,Technical support was unavailable,18.8,0,Email,Premium,0
nan,35.0,nan,High School,248564.22,839.0972491707812,Southwest,Checking,Highly recommend this service without hesitation,2.0,1,Text,Enterprise,0
nan,50.0,nan,Master,69958.85,652.0355474289918,West Coast,Checking,Billing problems caused frustration requiring immediate attention,66.8,0,Email,Enterprise,0
nan,42.0,Salaried,Associate,93610.69,802.5260451543986,Southwest,Checking,Technical support was unavailable,11.8,2,Email,Basic,0
ID_XXXX,28.0,Freelancer,High School,10181.24,711.389891771037,Northeast,Joint,Loyalty program incentives are useful,22.4,1,Email,Enterprise,1
nan,28.0,Salaried,High School,13168.53,693.7585439280513,Midwest,Savings,Billing concerns caused frustration,13.5,0,Email,Basic,0
nan,28.0,Salaried,High School,53082.88,748.3393195294102,Southwest,Checking,Loyalty program privileges are profitable,17.1,1,Phone,Premium,0
nan,50.0,Salaried,High School,256815.06,786.829703777225,Midwest,Savings,Delivery was pushed back by 3 days,,0,Phone,Premium,1
nan,42.0,Salaried,Master,38038.68,662.6966028945835,Midwest,Checking,Loyalty program advantages are worthwhile,23.3,2,Email,Basic,0
ID_XXXX,42.0,Unemployed,,178458.69,694.4875105135735,West Coast,Checking,Loyalty program advantages are profitable,48.7,3,Phone,Basic,1
nan,28.0,Freelancer,Master,10893.72,762.3434867342127,West Coast,Checking,Technical support was ignoring,29.4,0,Email,Premium,1
nan,42.0,nan,High School,81580.04,734.39971562135,Midwest,Savings,Loyalty program incentives are useful,10.7,0,Email,Basic,0
nan,,Freelancer,Associate,78015.07,775.0958915320691,Northeast,Savings,Technical support was delayed causing inconvenience,48.8,0,Phone,Basic,0
nan,35.0,Self-Employed,Bachelor,167043.58,745.755597721589,Midwest,Savings,Return process was difficult,71.1,3,Phone,Basic,0
nan,50.0,Freelancer,Bachelor,282.39,810.4112004574574,Northeast,Joint,Website user experience needs improvement,39.0,2,Email,Premium,0
nan,50.0,nan,Bachelor,17904.12,728.9294299416825,Southwest,Joint,Billing problems caused frustration requiring immediate attention,54.0,3,Phone,Premium,0
nan,50.0,Freelancer,nan,21085.18,731.0905574165481,Midwest,Joint,Return process was overly complex,10.4,0,Text,Basic,1
nan,42.0,Freelancer,High School,254579.61,736.08606860079,Southwest,Savings,Delivery was late by 3 days affecting my schedule,,2,App,Basic,0
nan,61.0,nan,Associate,14184.28,712.8755574136721,Midwest,Joint,Technical support was unavailable,19.7,0,Phone,Premium,0
nan,35.0,Salaried,,3201.34,762.4043579400462,Southwest,Checking,Highly recommend this service without hesitation,4.5,1,Email,Basic,0
nan,61.0,Freelancer,High School,64987.64,731.8520611931513,Northeast,Savings,Website layout needs improvement,9.8,1,Phone,Basic,1
nan,35.0,Unemployed,High School,63916.62,759.4090004572572,Southwest,Checking,Highly recommend this service without hesitation,56.5,0,Email,Basic,0
ID_XXXX,35.0,nan,High School,157947.03,767.224992681208,Southwest,Checking,Technical support was unavailable,43.6,0,Email,Enterprise,0
nan,28.0,Salaried,Bachelor,252720.42,741.4227340780163,West Coast,Savings,Product caliber transcended predictions,41.3,0,Text,Basic,0
nan,50.0,Self-Employed,High School,65736.59,745.0858162117098,Midwest,Checking,Highly recommend this service without hesitation,48.7,1,App,Premium,1
nan,42.0,Freelancer,High School,226030.04,669.4835106201733,Midwest,Savings,Product standard transcended predictions,20.4,0,Email,Basic,0
nan,35.0,Salaried,Associate,109782.86,692.482320609009,Midwest,Joint,Product caliber outdid anticipations,7.4,1,Email,Premium,1
nan,35.0,Freelancer,Bachelor,26119.24,762.1691726495366,Midwest,Savings,Delivery was late by 3 days affecting my schedule,6.0,1,Phone,Basic,1
nan,,Salaried,High School,224140.71,791.1815590909257,West Coast,Savings,Delivery was pushed back by 3 days,,0,App,Basic,0
nan,61.0,Salaried,Associate,93580.29,622.978488724582,Northeast,Checking,Excellent customer service experience,28.3,0,Phone,Premium,1
nan,42.0,Self-Employed,Bachelor,45440.93,691.6068426374293,Southwest,Checking,Website design needs improvement,26.4,0,Text,Premium,0
nan,50.0,Self-Employed,,96916.24,721.1810301207325,Southwest,Checking,Loyalty program perks are worthwhile,9.3,2,App,Basic,1
nan,42.0,Self-Employed,Bachelor,43606.37,676.0362768959661,Northeast,Checking,Loyalty program advantages are profitable,21.0,0,Phone,Basic,1
nan,35.0,Self-Employed,Master,10305.89,678.8740177909159,Southwest,Checking,Delivery was postponed by 3 days,26.0,1,Phone,Basic,0
nan,,Salaried,Associate,107892.62,743.7459936896903,West Coast,Checking,Billing problems caused frustration requiring immediate attention,17.3,1,Phone,Basic,0
ID_XXXX,28.0,Salaried,High School,147710.38,799.0687984585717,Midwest,Checking,Billing challenges caused frustration,7.1,0,Phone,Basic,1
nan,42.0,Salaried,Associate,110918.33,618.408822183893,Midwest,Checking,Highly recommend this service to colleagues,23.8,1,Phone,Premium,0
nan,35.0,Salaried,Master,22118.33,711.4761925509152,West Coast,Checking,Technical support was ignoring,18.0,1,Phone,Basic,0
nan,42.0,Self-Employed,Associate,266738.75,743.1640170895193,Midwest,Savings,Loyalty program incentives are advantageous,19.8,0,Phone,Basic,0
nan,42.0,Freelancer,,2174.21,759.0106986100121,Southwest,Checking,Delivery was pushed back by 3 days,17.7,0,Phone,Premium,0
nan,42.0,Salaried,nan,34381.95,735.9563671534519,Northeast,Checking,Product excellence surpassed forecasts,18.0,0,Phone,Enterprise,1
nan,28.0,Salaried,High School,25604.55,808.0701274968058,Northeast,Savings,Loyalty program privileges are worthwhile,,0,Email,Enterprise,0
nan,42.0,Freelancer,High School,4192.44,721.4453296662897,Southwest,Joint,Product grade surpassed hopes,68.6,2,Phone,Premium,0
nan,35.0,Salaried,High School,44235.79,785.5996395196048,Northeast,Joint,Product caliber outdid anticipations,37.6,0,Email,Basic,0
nan,28.0,nan,,82944.25,687.6816164827015,Northeast,Savings,Technical support was negligent,35.8,1,Email,Basic,1
nan,28.0,Freelancer,High School,182050.19,722.8991473294425,Midwest,Joint,Loyalty program advantages are worthwhile,23.8,1,Text,Premium,0
nan,50.0,Salaried,PhD,388842.14,659.3642462100574,Southwest,Checking,Highly recommend this service to colleagues,57.6,1,Email,Basic,1
nan,42.0,Salaried,High School,140311.76,765.0432220274497,West Coast,Checking,Website user experience needs improvement,14.2,0,Phone,Basic,0
nan,50.0,Self-Employed,Associate,53753.3,713.9778568679412,Northeast,Checking,Technical support was ignoring,14.9,1,Phone,Enterprise,1
ID_XXXX,50.0,Salaried,High School,109334.15,737.8910531259949,Southwest,Joint,Loyalty program advantages are worthwhile,48.2,2,Phone,Basic,0
nan,50.0,Salaried,nan,157716.7,704.3315684357464,West Coast,Savings,Loyalty program incentives are beneficial,45.9,1,Email,Premium,0
nan,42.0,Salaried,Bachelor,53215.35,,West Coast,Checking,Loyalty program incentives are advantageous,55.7,0,Email,Basic,0
nan,35.0,Freelancer,,130676.49,739.8716986927876,Midwest,Savings,Highly recommend this service,29.9,1,Email,Basic,1
ID_XXXX,35.0,Self-Employed,nan,56018.43,670.2674285014397,Midwest,Savings,Loyalty program incentives are beneficial,13.2,0,Email,Basic,1
nan,50.0,Salaried,Associate,41528.32,673.1616283708495,Northeast,Checking,Website layout needs improvement,19.7,1,Email,Basic,0
ID_XXXX,42.0,Freelancer,High School,63472.87,718.6115634829324,Southwest,Savings,Website UI/UX needs improvement,8.5,0,Phone,Enterprise,1
nan,61.0,Self-Employed,High School,95757.9,752.9786978703329,Southwest,Savings,Website UI/UX needs improvement,46.5,0,Email,Basic,1
nan,61.0,Self-Employed,High School,110317.38,813.1447776556923,Midwest,Checking,Technical support was unavailable,24.6,0,App,Premium,0
ID_XXXX,28.0,Salaried,Master,37502.04,735.1495428332864,Midwest,Savings,Delivery was postponed by 3 days,36.1,4,Phone,Premium,0
nan,28.0,Self-Employed,High School,71998.84,770.376570124427,Midwest,Joint,Technical support was negligent,43.5,1,Phone,Premium,0
nan,50.0,nan,,204553.51,639.3574532617915,Northeast,Checking,Product grade beat anticipations,34.3,0,Phone,Premium,0
nan,35.0,Salaried,Bachelor,318140.1,820.6477924716992,Southwest,Checking,Product grade beat anticipations,12.4,2,Email,Basic,1
nan,28.0,Salaried,Bachelor,21912.76,750.2843105564597,Northeast,Checking,Website UI/UX needs improvement,19.7,0,Email,Premium,1
ID_XXXX,61.0,Salaried,Bachelor,18208.91,717.519774442061,Southwest,Checking,Return process was convoluted,4.7,3,Text,Premium,1
nan,35.0,Salaried,,95976.06,711.7651976271037,Midwest,Checking,Return process was confusing,6.3,1,Phone,Premium,0
nan,,Salaried,Master,45526.27,664.6400101070501,Northeast,Checking,Highly recommend this service,23.7,0,Phone,Basic,0
nan,50.0,Unemployed,Bachelor,2084.24,678.9356602139915,West Coast,Checking,Return process was problematic that needs resolution,32.1,1,App,Basic,1
nan,50.0,nan,High School,36207.16,815.5217816066707,Northeast,Joint,Delivery was postponed by 3 days,54.2,1,Phone,Premium,1
nan,35.0,Salaried,Master,139718.19,670.5497780856994,Northeast,Savings,Highly recommend this service to colleagues,31.2,2,Email,Basic,1
nan,35.0,Self-Employed,nan,135715.64,669.5866121066828,West Coast,Joint,Website UI/UX needs improvement,36.6,0,Email,Basic,1
nan,42.0,Freelancer,High School,58018.75,684.888975696221,West Coast,Savings,Website layout needs improvement,7.4,0,Email,Basic,1
ID_XXXX,28.0,Self-Employed,Associate,54379.1,660.0909623519364,Midwest,Checking,Product caliber transcended forecasts,44.4,1,App,Basic,0
nan,35.0,Self-Employed,Associate,73637.92,720.7653287422755,West Coast,Joint,Product standard transcended forecasts,22.5,1,Email,Basic,0
nan,35.0,Salaried,High School,21053.5,774.4455256332619,West Coast,Checking,Technical support was delayed affecting my schedule,31.8,1,Email,Basic,1
ID_XXXX,28.0,Self-Employed,PhD,63464.4,689.4753836863983,Northeast,Savings,Delivery was held up by 3 days,48.2,1,Text,Basic,1
nan,35.0,Self-Employed,High School,944.17,651.333786011959,Northeast,Joint,Delivery was postponed by 3 days,30.1,0,Email,Basic,0
nan,50.0,Freelancer,Master,54860.99,734.5930656507327,Midwest,Joint,Loyalty program perks are worthwhile,23.1,1,Email,Basic,0
nan,28.0,Freelancer,,34811.75,717.2112831160093,West Coast,Savings,Loyalty program incentives are advantageous,39.3,0,Text,Basic,1
nan,28.0,Salaried,Bachelor,95499.96,770.1362275040813,Southwest,Savings,Delivery was pushed back by 3 days,39.3,0,Phone,Premium,0
